Away,AwayPts,Home,HomePts
203,Houston Rockets,101,Indiana Pacers,104
204,Denver Nuggets,90,Los Angeles Clippers,105
205,Washington Wizards,101,Los Angeles Lakers,88
206,Dallas Mavericks,111,Sacramento Kings,133
207,Atlanta Hawks,102,Chicago Bulls,100
208,Dallas Mavericks,97,Denver Nuggets,88
209,Boston Celtics,90,Los Angeles Clippers,114
210,San Antonio Spurs,101,Memphis Grizzlies,87
211,Brooklyn Nets,99,Miami Heat,110
212,Phoenix Suns,116,Minnesota Timberwolves,121
213,New York Knicks,91,New Orleans Pelicans,99
214,Sacramento Kings,93,Portland Trail Blazers,105
215,Oklahoma City Thunder,119,Toronto Raptors,100
216,Los Angeles Lakers,75,Utah Jazz,123
217,Houston Rockets,106,Cleveland Cavaliers,100
218,Oklahoma City Thunder,82,Detroit Pistons,88
219,Washington Wizards,94,Golden State Warriors,102
220,Chicago Bulls,98,Indiana Pacers,96
221,Brooklyn Nets,105,Orlando Magic,139
222,Charlotte Hornets,100,Philadelphia 76ers,85
223,New York Knicks,89,Dallas Mavericks,91
224,Miami Heat,100,Los Angeles Lakers,102
225,Denver Nuggets,109,Memphis Grizzlies,105
226,Phoenix Suns,94,Milwaukee Bucks,105
227,Los Angeles Clippers,99,Minnesota Timberwolves,79
228,Washington Wizards,111,Sacramento Kings,120
229,New Orleans Pelicans,92,San Antonio Spurs,100
230,Atlanta Hawks,97,Toronto Raptors,105
231,Golden State Warriors,103,Utah Jazz,96
232,Brooklyn Nets,87,Cleveland Cavaliers,107
233,Chicago Bulls,103,Houston Rockets,100
234,Orlando Magic,114,Indiana Pacers,94
235,Denver Nuggets,95,New Orleans Pelicans,101
236,Los Angeles Clippers,117,Oklahoma City Thunder,119
237,Boston Celtics,109,Portland Trail Blazers,116
