Away,AwayPts,Home,HomePts
208,Sacramento Kings,,Los Angeles Lakers,
209,Minnesota Timberwolves,,Miami Heat,
210,Detroit Pistons,,Orlando Magic,
211,Philadelphia 76ers,,Portland Trail Blazers,
212,Chicago Bulls,,Toronto Raptors,
213,Orlando Magic,,Charlotte Hornets,
214,Memphis Grizzlies,,Houston Rockets,
215,Atlanta Hawks,,Indiana Pacers,
216,Minnesota Timberwolves,,New Orleans Pelicans,
217,Dallas Mavericks,,Oklahoma City Thunder,
218,Golden State Warriors,,Phoenix Suns,
219,Boston Celtics,,San Antonio Spurs,
