Away,AwayPts,Home,HomePts
147,New Orleans Pelicans,,Los Angeles Lakers,
148,Chicago Bulls,,Memphis Grizzlies,
149,Golden State Warriors,,Miami Heat,
150,Milwaukee Bucks,,Sacramento Kings,
151,Detroit Pistons,,San Antonio Spurs,
152,Los Angeles Clippers,,Utah Jazz,
153,Utah Jazz,,Denver Nuggets,
154,Miami Heat,,Houston Rockets,
155,Minnesota Timberwolves,,Indiana Pacers,
156,Cleveland Cavaliers,,New York Knicks,
157,Philadelphia 76ers,,Oklahoma City Thunder,
158,Golden State Warriors,,Orlando Magic,
