Away,AwayPts,Home,HomePts
166,Charlotte Hornets,99,Cleveland Cavaliers,100
167,Memphis Grizzlies,92,Denver Nuggets,104
168,Chicago Bulls,94,Golden State Warriors,143
169,Toronto Raptors,104,Indiana Pacers,107
170,Miami Heat,109,Minnesota Timberwolves,97
171,Detroit Pistons,99,Oklahoma City Thunder,98
172,New Orleans Pelicans,115,Phoenix Suns,91
173,Toronto Raptors,112,Atlanta Hawks,78
174,San Antonio Spurs,106,Charlotte Hornets,86
175,Oklahoma City Thunder,81,Dallas Mavericks,97
176,New Orleans Pelicans,95,Golden State Warriors,110
177,New York Knicks,102,Houston Rockets,117
178,Boston Celtics,108,Indiana Pacers,98
179,Orlando Magic,111,Philadelphia 76ers,130
180,Los Angeles Clippers,97,Sacramento Kings,95
181,Milwaukee Bucks,108,Utah Jazz,121
182,Portland Trail Blazers,108,Washington Wizards,105
183,Miami Heat,100,Chicago Bulls,93
184,Brooklyn Nets,98,Memphis Grizzlies,88
185,Phoenix Suns,108,Minnesota Timberwolves,119
186,Detroit Pistons,118,Boston Celtics,108
187,Sacramento Kings,110,Golden State Warriors,106
188,Brooklyn Nets,103,Houston Rockets,117
189,Orlando Magic,109,Indiana Pacers,121
190,Los Angeles Lakers,115,Los Angeles Clippers,120
191,Portland Trail Blazers,103,New York Knicks,91
192,Cleveland Cavaliers,113,Philadelphia 76ers,91
193,Dallas Mavericks,108,San Antonio Spurs,115
194,Phoenix Suns,104,Chicago Bulls,99
195,Miami Heat,97,Cleveland Cavaliers,108
196,Washington Wizards,92,Minnesota Timberwolves,89
197,Milwaukee Bucks,112,Sacramento Kings,87
198,Denver Nuggets,77,Utah Jazz,106
199,Brooklyn Nets,109,Dallas Mavericks,104
200,Phoenix Suns,107,Detroit Pistons,131
201,Indiana Pacers,97,Houston Rockets,118
202,Golden State Warriors,127,Los Angeles Lakers,123
203,Minnesota Timberwolves,120,New Orleans Pelicans,102
204,Miami Heat,86,New York Knicks,115
205,Oklahoma City Thunder,108,Orlando Magic,121
206,Washington Wizards,113,Philadelphia 76ers,118
207,Memphis Grizzlies,95,San Antonio Spurs,104
208,Charlotte Hornets,113,Toronto Raptors,126
209,Cleveland Cavaliers,121,Atlanta Hawks,114
210,Philadelphia 76ers,97,Boston Celtics,108
211,Chicago Bulls,110,Denver Nuggets,111
212,Utah Jazz,126,Los Angeles Clippers,107
213,Milwaukee Bucks,103,Portland Trail Blazers,91
